"","faurby_accepted_genus_species","faurby_accepted_rank"
"514","Leopardus_vorohuensis","species"
"515","Leptailurus_serval","species"
"516","Leptailurus","genus"
"517","Lokotunjailurus_emageritus","species"
"518","Lynx_canadensis","species"
"519","Lynx","genus"
"520","Lynx_issiodorensis","species"
"521","Lynx_longignathus","species"
"522","Lynx_lynx","species"
"523","Lynx_pardinus","species"
"524","Lynx_proterolyncis","species"
"525","Lynx_rufus","species"
"526","Lynx_thomasi","species"
"527","Machairodus","genus"
"528","Machairodus_aphanistus","species"
"529","Machairodus_robinsoni","species"
"530","Machairodus_tanneri","species"
"531","Megantereon_cultridens","species"
"532","Megantereon_falconeri","species"
"533","Megantereon","genus"
"534","Megantereon_hesperus","species"
"535","Megantereon_nihowanensis","species"
"536","Megantereon_whitei","species"
"537","Metailurus","genus"
"538","Metailurus_hengduanshanensis","species"
"539","Metailurus_major","species"
"540","Metailurus_mongoliensis","species"
"541","Metailurus_obscurus ","species"
"542","Metailurus_parvulus","species"
"543","Miomachairodus_pseudailuroides","species"
"544","Miracinonyx","genus"
"545","Miracinonyx_inexpectatus","species"
"546","Miracinonyx_trumani","species"
"547","Namafelis_minor","species"
"548","Neofelis_nebulosa","species"
"549","Nimravides_catacopsis","species"
"550","Nimravides","genus"
"551","Nimravides_pedionomus","species"
"552","Nimravides_thinobates","species"
"553","Panthera_atrox","species"
"554","Panthera_blytheae","species"
"555","Panthera","genus"
"556","Panthera_gombaszoegensis","species"
"557","Panthera_leo","species"
"558","Panthera_onca","species"
"559","Panthera_palaeosinensis","species"
"560","Panthera_pamiri","species"
"561","Panthera_pardus","species"
"562","Panthera_spelaea","species"
"563","Panthera_tigris","species"
"564","Paramachaerodus","genus"
"565","Paramachaerodus_maximiliani","species"
"566","Paramachaerodus_orientalis","species"
"567","Pratifelis_martini","species"
"568","Prionailurus_bengalensis","species"
"569","Prionailurus_rubiginosus","species"
"570","Pristifelis_attica","species"
"571","Proailurus_bournonnensis","species"
"572","Proailurus","genus"
"573","Proailurus_lemanensis","species"
"574","Proailurus_major","species"
"575","Promegantereon_ogygia","species"
"576","Pseudaelurus_cuspidatus","species"
"577","Pseudaelurus","genus"
"578","Pseudaelurus_guangheensis","species"
"579","Pseudaelurus_quadridentatus","species"
"580","Pseudaelurus_romieviensis","species"
"581","Pseudaelurus_transitorius","species"
"582","Puma_concolor","species"
"583","Puma","genus"
"584","Puma_lacustris","species"
"585","Puma_pardoides","species"
"586","Rhizosmilodon_fiteae","species"
"587","Rhizosmilodon","genus"
"588","Smilodon_fatalis","species"
"589","Smilodon","genus"
"590","Smilodon_gracilis","species"
"591","Smilodon_populator","species"
"592","Stenailurus_teilhardi","species"
"593","Styriofelis_lorteti","species"
"594","Styriofelis_turnauensis","species"
"595","Styriofelis_vallesiensis","species"
"596","Xenosmilus_hodsonae","species"
"597","Xenosmilus","genus"
"598","Yoshi_garevskii","species"
"599","Atilax","genus"
"600","Atilax_mesotes","species"
"601","Atilax_paludinosus","species"
"602","Crossarchus_transvalensis","species"
"603","Crossarchus","genus"
"604","Cynictis_penicillata","species"
"605","Cynictis","genus"
"606","Helogale","genus"
"607","Helogale_hirtula","species"
"608","Helogale_kitafe","species"
"609","Helogale_palaeogracilis","species"
"610","Herpestes_abdelalii","species"
"611","Herpestes_alaylaii","species"
"612","Herpestes_cadeoti","species"
"613","Herpestes_debilis","species"
"614","Herpestes_dissimilis","species"
"615","Herpestes","genus"
"616","Herpestes_ichneumon","species"
"617","Herpestes_palaeoserengetensis","species"
"618","Herpestes_pulverulentus","species"
"619","Herpestes_sanguineus","species"
