"pbdb_identified_name","pbdb_difference","pbdb_accepted_name","pbdb_internal_synonym","pbdb_identified_rank","pbdb_accepted_rank","pbdb_accepted_attr","pbdb_phylum","pbdb_class","pbdb_order","pbdb_family","pbdb_genus","pbdb_subgenus_name","pbdb_subgenus_reso","pbdb_primary_reso","pbdb_species_reso","pbdb_phylum_no","pbdb_class_no","pbdb_order_no","pbdb_family_no","pbdb_genus_no","pbdb_subgenus_no","pbdb_identified_no","pbdb_accepted_no","pbdb_old_genus","pbdb_rest"
"Cynarctus_n._sp._fortidens","subjective synonym of","Cynarctus_crucidens","Cynarctus_crucidens","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynarctus",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41206,NA,45443,45442,"Cynarctus","crucidens"
"cf._Mionictis_pristinus",NA,"Mionictis_pristinus","Mionictis_pristinus","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mionictis",NA,NA,"cf.",NA,33815,36651,36905,41086,41138,NA,48755,47807,"Mionictis","pristinus"
"Plionictis_parviloba","recombined as","Martes_parviloba","Martes_parviloba","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Martes",NA,NA,NA,NA,33815,36651,36905,41086,41126,NA,50590,48863,"Martes","parviloba"
"Pseudaelurus_n._sp._pedionomus","recombined as","Nimravides_pedionomus","Nimravides_pedionomus","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Nimravides",NA,NA,NA,"n. sp.",33815,36651,36905,41045,41065,NA,51145,51145,"Nimravides","pedionomus"
"Vulpes_n._sp._stenognathus",NA,"Vulpes_stenognathus","Vulpes_stenognathus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Vulpes",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41248,NA,52688,52688,"Vulpes","stenognathus"
"Arctonasua_n._sp._fricki",NA,"Arctonasua_fricki","Arctonasua_fricki","species","species",NA,"Chordata","Mammalia","Carnivora","Procyonidae","Arctonasua",NA,NA,NA,"n. sp.",33815,36651,36905,41249,41251,NA,44301,44301,"Arctonasua","fricki"
"Ursavus_pawniensis",NA,"Ursavus_pawniensis","Ursavus_pawniensis","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Ursavus",NA,NA,NA,NA,33815,36651,36905,41301,41329,NA,52599,52599,"Ursavus","pawniensis"
"Plionarctos_edensis",NA,"Plionarctos_edensis","Plionarctos_edensis","species","species",NA,"Chordata","Mammalia","Carnivora","Ursidae","Plionarctos",NA,NA,NA,NA,33815,36651,36905,41301,41322,NA,50584,50584,"Plionarctos","edensis"
"Cynarctus_cf._voorhiesi",NA,"Cynarctus_voorhiesi","Cynarctus_voorhiesi","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynarctus",NA,NA,NA,"cf.",33815,36651,36905,41189,41206,NA,45449,45449,"Cynarctus","voorhiesi"
"Brachypsalis_n._sp._hyaenoides",NA,"Brachypsalis_hyaenoides","Brachypsalis_hyaenoides","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Brachypsalis",NA,NA,NA,"n. sp.",33815,36651,36905,41086,41099,NA,44672,43765,"Brachypsalis","hyaenoides"
"Barbourofelis_cf._whitfordi",NA,"Barbourofelis_whitfordi","Barbourofelis_whitfordi","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Barbourofelis",NA,NA,NA,"cf.",33815,36651,36905,41036,41037,NA,44432,46437,"Barbourofelis","whitfordi"
"Canis_cf._lepophagus",NA,"Canis_lepophagus","Canis_lepophagus","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Canis",NA,NA,NA,"cf.",33815,36651,36905,41189,41198,NA,44856,44856,"Canis","lepophagus"
"Mustela_cf._rexroadensis",NA,"Mustela_rexroadensis","Mustela_rexroadensis","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Mustela",NA,NA,NA,"cf.",33815,36651,36905,41086,41139,NA,48866,48866,"Mustela","rexroadensis"
"Lynx_cf._rexroadensis","recombined as","Felis_rexroadensis","Felis_rexroadensis","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Felis",NA,NA,NA,"cf.",33815,36651,36905,41045,41055,NA,47823,46527,"Felis","rexroadensis"
"Ischyrocyon_n._sp._gidleyi",NA,"Ischyrocyon_gidleyi","Ischyrocyon_gidleyi","species","species",NA,"Chordata","Mammalia","Carnivora","Amphicyonidae","Ischyrocyon",NA,NA,NA,"n. sp.",33815,36651,36905,41266,41287,NA,47372,45772,"Ischyrocyon","gidleyi"
"Aelurodon_n._sp._mcgrewi",NA,"Aelurodon_mcgrewi","Aelurodon_mcgrewi","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Aelurodon",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41190,NA,43769,43769,"Aelurodon","mcgrewi"
"Epicyon_n._sp._aelurodontoides",NA,"Epicyon_aelurodontoides","Epicyon_aelurodontoides","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Epicyon",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41212,NA,46203,46203,"Epicyon","aelurodontoides"
"Machairodus_tanneri",NA,"Machairodus_tanneri","Machairodus_tanneri","species","species",NA,"Chordata","Mammalia","Carnivora","Felidae","Machairodus",NA,NA,NA,NA,33815,36651,36905,41045,41059,NA,460253,460252,"Machairodus","tanneri"
"Martes_n._sp._stirtoni",NA,"Martes_stirtoni","Martes_stirtoni","species","species",NA,"Chordata","Mammalia","Carnivora","Mustelidae","Martes",NA,NA,NA,"n. sp.",33815,36651,36905,41086,41126,NA,47926,47926,"Martes","stirtoni"
"Barbourofelis_n._sp._whitfordi",NA,"Barbourofelis_whitfordi","Barbourofelis_whitfordi","species","species",NA,"Chordata","Mammalia","Carnivora","Nimravidae","Barbourofelis",NA,NA,NA,"n. sp.",33815,36651,36905,41036,41037,NA,44432,46437,"Barbourofelis","whitfordi"
"Cynarctus_n._sp._crucidens",NA,"Cynarctus_crucidens","Cynarctus_crucidens","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Cynarctus",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41206,NA,45442,45442,"Cynarctus","crucidens"
"Pliogale_n._sp._manka",NA,"Pliogale_manka","Pliogale_manka","species","species",NA,"Chordata","Mammalia","Carnivora","Mephitidae","Pliogale",NA,NA,NA,"n. sp.",33815,36651,36905,104743,41154,NA,50519,50519,"Pliogale","manka"
"Osteoborus_n._sp._pugnator","recombined as","Borophagus_pugnator","Borophagus_pugnator","species","species",NA,"Chordata","Mammalia","Carnivora","Canidae","Borophagus",NA,NA,NA,"n. sp.",33815,36651,36905,41189,41196,NA,49480,50648,"Borophagus","pugnator"
