"SUBCLASSORSUPERORDER","ORDER","SUBORDERORSUPERFAMILY","FAMILY","SUBFAMILY","GENUS","SPECIES","SIDNUM","now_accepted_name","now_accepted_rank","MAX_AGE","MIN_AGE","now_continent"
"Eutheria","Carnivora","Caniformia","Amphicyonidae","Daphoeninae","Daphoenodon","skinner",82129,"Daphoenodon_skinner","species",19.09,18.5,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Oligobuninae","Megalictis","petersoni",80314,"Megalictis_petersoni","species",18.5,17.34,"Americas"
"Eutheria","Carnivora","Caniformia","Amphicyonidae","Amphicyoninae","Ysengrinia","americana",80442,"Ysengrinia_americana","species",19.09,17.34,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Enhydrocyon","basilatus",80194,"Enhydrocyon_basilatus","species",28,19.09,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Caninae","Leptocyon","gregorii",80204,"Leptocyon_gregorii","species",28,18.5,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Oligobuninae","Promartes","olcotti",80303,"Promartes_olcotti","species",28,18.5,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Oligobuninae","Promartes","vantassalensis",80306,"Promartes_vantassalensis","species",22.2,19.09,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Oligobuninae","Megalictis","ferox",80318,"Megalictis_ferox","species",22.2,18.5,"Americas"
"Eutheria","Carnivora","Caniformia","Amphicyonidae","Daphoeninae","Daphoenodon","minor",82196,"Daphoenodon_minor","species",22.2,19.09,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Phlaocyon","leucosteus",80229,"Phlaocyon_leucosteus","species",28,15.97,"Americas"
"Eutheria","Carnivora","Caniformia","Amphicyonidae","Daphoeninae","Borocyon","niobrarensis",82197,"Borocyon_niobrarensis","species",18.5,12.57,"Americas"
"Eutheria","Carnivora","Feliformia","Felidae","Felinae","Hyperailurictis","intrepidus",80512,"Hyperailurictis_intrepidus","species",15.97,9.07,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Ischyrictini","Plionictis","ogygia",80375,"Plionictis_ogygia","species",15.97,7.59,"Americas"
"Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Hoplophoneus","primaevus",80495,"Hoplophoneus_primaevus","species",34.7,29.75,"Americas"
"Eutheria","Carnivora","indet.","indet.","indet.","Palaeogale","sectoria",26987,"Palaeogale_sectoria","species",35.24,17.34,"Americas | Europe | Asia"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Hesperocyon","coloradensis",80175,"Hesperocyon_coloradensis","species",33.9,32.1,"Americas"
"Eutheria","Carnivora","indet.","Nimravidae","Nimravinae","Dinictis","felina",80488,"Dinictis_felina","species",37.39,29.75,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Hesperocyoninae","Mesocyon","temnodon",80187,"Mesocyon_temnodon","species",33.9,22.2,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Phlaocyon","annectens",80222,"Phlaocyon_annectens","species",22.2,18.5,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Cynarctoides","lemur",82024,"Cynarctoides_lemur","species",32.1,19.09,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Tomarctus","paulus",80238,"Tomarctus_paulus","species",15.97,12.57,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Carpocyon","robustus",80240,"Carpocyon_robustus","species",12.57,9.07,"Americas"
"Eutheria","Carnivora","Caniformia","Amphicyonidae","Amphicyoninae","Amphicyon","galushai",82131,"Amphicyon_galushai","species",18.5,17.34,"Americas"
"Eutheria","Carnivora","Caniformia","Canidae","Borophaginae","Cynarctus","saxatilis",80225,"Cynarctus_saxatilis","species",15.97,12.57,"Americas"
"Eutheria","Carnivora","Caniformia","Mustelidae","Oligobuninae","Brachypsalis","modicus",80321,"Brachypsalis_modicus","species",15.97,12.57,"Americas"
