"MDD_species_id","MDD_syn_ID","MDD_root_name","MDD_order","MDD_family","MDD_genus","MDD_species","MDD_validity","MDD_original_combination","MDD_author","MDD_year","MDD_authority_parentheses","MDD_actual_rank","MDD_continent"
1005896,100006048,"shawii","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Otaria_shawii","Lesson",1828,"1","species","South America"
1005896,100006049,"falclandica","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Phoca_falclandica","J. B. Fischer",1829,"1","species","South America"
1005896,100052053,"hauvillii","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Phoca_hauvillii","J. B. Fischer",1829,"1","species","South America"
1005896,100048776,"hauvilii","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Otaria_hauvilii","Lesson",1842,"1","species","South America"
1005896,100006050,"ursinus","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Arctocephalus_ursinus","J. E. Gray",1843,"0","species","South America"
1005896,100055994,"falklandicus","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Arctocephalus_falklandicus","J. E. Gray",1844,"0","species","South America"
1005896,100006051,"nigrescens","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Arctocephalus_nigrescens","J. E. Gray",1859,"0","species","South America"
1005896,100006055,"australis","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Arctocephalus_australis","J. E. Gray",1866,"0","species","South America"
1005896,100006054,"grayii","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Arctocephalus_grayii","A. W. Scott",1873,"0","species","South America"
1005896,100006053,"latirostris","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Euotaria_latirostris","J. E. Gray",1874,"1","species","South America"
1005896,100059412,"falklandicus","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Euotaria_falklandica","J. E. Gray",1875,"1","species","South America"
1005896,100059411,"nigrescens","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Euotaria_nigrescens","J. E. Gray",1875,"1","species","South America"
1005896,100006056,"gracilis","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Arctocephalus_gracilis","Nehring",1887,"0","species","South America"
1005896,100006057,"brachydactylus","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Otaria_brachydactyla","R. A. Philippi",1892,"1","species","South America"
1005896,100006058,"leucostoma","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Otaria_leucostoma","R. A. Philippi",1892,"1","species","South America"
1005896,100053138,"australis","Carnivora","Otariidae","Arctocephalus","Arctocephalus_australis","synonym","Arctophoca_australis","D'Elía, Canto-Hernández, Ossa, Verde-Arregoitia, Bostelmann, Iriarte, Amador, Quiroga-Carmona, Hurtado, Cadenillas, & Valdez",2020,"1","species","South America"
1005897,100006059,"forsteri","Carnivora","Otariidae","Arctocephalus","Arctocephalus_forsteri","species","Otaria_forsteri","Lesson",1828,"1","species","Oceania (Continent)"
1005897,100052048,"forsteri","Carnivora","Otariidae","Arctocephalus","Arctocephalus_forsteri","synonym","Phoca_forsteri","J. B. Fischer",1829,"1","species","Oceania (Continent)"
1005897,100030722,"lamarii","Carnivora","Otariidae","Arctocephalus","Arctocephalus_forsteri","synonym","Otaria_lamarii","J. Müller",1841,"1","species","Oceania (Continent)"
1005897,100029778,"cinereus","Carnivora","Otariidae","Arctocephalus","Arctocephalus_forsteri","synonym","Arctocephalus_cinereus","J. E. Gray",1844,"0","species","Oceania (Continent)"
1005897,100034850,"forsteri","Carnivora","Otariidae","Arctocephalus","Arctocephalus_forsteri","synonym","Arctocephalus_forsteri","J. E. Gray",1871,"0","species","Oceania (Continent)"
1005897,100059410,"cinereus","Carnivora","Otariidae","Arctocephalus","Arctocephalus_forsteri","synonym","Euotaria_cinerea","J. E. Gray",1875,"1","species","Oceania (Continent)"
1005897,100059062,"forsteri","Carnivora","Otariidae","Arctocephalus","Arctocephalus_forsteri","synonym","Arctophoca_forsteri","S. Jackson & Groves",2015,"1","species","Oceania (Continent)"
1005898,100006060,"galapagoensis","Carnivora","Otariidae","Arctocephalus","Arctocephalus_galapagoensis","species","Arctocephalus_galapagoensis","E. Heller",1904,"0","species","North America|South America"
1005899,100006061,"gazella","Carnivora","Otariidae","Arctocephalus","Arctocephalus_gazella","species","Arctophoca_gazella","W. C. H. Peters",1875,"1","species","Africa|Antarctica|Oceania (Continent)|South America"
1005899,100034851,"gazella","Carnivora","Otariidae","Arctocephalus","Arctocephalus_gazella","synonym","Arctocephalus_gazella","Corbet & J. Edwards Hill",1980,"0","species","Africa|Antarctica|Oceania (Continent)|South America"
1005900,100031708,"auritus","Carnivora","Otariidae","Arctocephalus","Arctocephalus_philippii","synonym","Otaria_aurita","von Tschudi",1845,"1","species","South America"
1005900,100006062,"philippii","Carnivora","Otariidae","Arctocephalus","Arctocephalus_philippii","species","Otaria_philippii","W. C. H. Peters",1866,"1","species","South America"
1005900,100053139,"philippii","Carnivora","Otariidae","Arctocephalus","Arctocephalus_philippii","synonym","Arctophoca_philippii","J. E. Gray",1871,"1","species","South America"
1005900,100034852,"philippii","Carnivora","Otariidae","Arctocephalus","Arctocephalus_philippii","synonym","Arctocephalus_philippii","Matschie",1898,"0","species","South America"
1005900,100046734,"philippi","Carnivora","Otariidae","Arctocephalus","Arctocephalus_philippii","synonym","Arctocephalus_philippi","Corbet & J. Edwards Hill",1980,"0","species","South America"
1005895,100006063,"pusillus","Carnivora","Otariidae","Arctocephalus","Arctocephalus_pusillus","species","Phoca_pusilla","von Schreber",1775,"1","species","Africa|Antarctica|Oceania (Continent)"
1005895,100053621,"pasilla","Carnivora","Otariidae","Arctocephalus","Arctocephalus_pusillus","synonym","Phoca_pasilla","P. L. S. Müller",1776,"1","species","Africa|Antarctica|Oceania (Continent)"
